"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"alabama","alabama","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2022.4-1",NA,"R (>= 2.10.1), numDeriv",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"alevinQC","alevinQC","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.14.0",NA,"R (>= 4.0)","rmarkdown (>= 2.5), tools, methods, ggplot2, GGally, dplyr,
rjson, shiny, shinydashboard, DT, stats, utils, tximport (>=
1.17.4), cowplot, rlang, Rcpp","Rcpp","knitr, BiocStyle, testthat (>= 3.0.0), BiocManager",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"AlphaSimR","AlphaSimR","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.3.4",NA,"R (>= 4.0.0), methods, R6","Rcpp (>= 0.12.7), Rdpack","Rcpp, RcppArmadillo (>= 0.7.500.0.0), BH","knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"annotate","annotate","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.76.0",NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), httr",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, humanCHRLOC, Rgraphviz, RUnit,",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"AnnotationDbi","AnnotationDbi","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.60.0",NA,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, RUnit,
TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db, reactome.db,
AnnotationForge, graph, EnsDb.Hsapiens.v75, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"AnnotationHub","AnnotationHub","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","3.6.0",NA,"BiocGenerics (>= 0.15.10), BiocFileCache (>= 1.5.1)","utils, methods, grDevices, RSQLite, BiocManager, BiocVersion,
curl, rappdirs, AnnotationDbi (>= 1.31.19), S4Vectors,
interactiveDisplayBase, httr, yaml, dplyr",NA,"IRanges, GenomicRanges, GenomeInfoDb, VariantAnnotation,
Rsamtools, rtracklayer, BiocStyle, knitr, AnnotationForge,
rBiopaxParser, RUnit, GenomicFeatures, MSnbase, mzR,
Biostrings, SummarizedExperiment, ExperimentHub, gdsfmt,
rmarkdown, HubPub","AnnotationHubData","Artistic-2.0",NA,NA,NA,NA,"yes","4.2.2"
"ape","ape","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","5.6-2",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph, phangorn",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"aroma.light","aroma.light","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","3.28.0",NA,"R (>= 2.15.2)","stats, R.methodsS3 (>= 1.7.1), R.oo (>= 1.23.0), R.utils (>=
2.9.0), matrixStats (>= 0.55.0)",NA,"princurve (>= 2.1.4)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"askpass","askpass","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"assertthat","assertthat","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"backports","backports","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"base","base","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","4.2.2","base",NA,NA,NA,"methods",NA,"Part of R 4.2.2",NA,NA,NA,NA,NA,"4.2.2"
"base64enc","base64enc","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"bayesm","bayesm","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","3.1-5",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.0), utils, stats, graphics, grDevices","Rcpp, RcppArmadillo","knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"beachmat","beachmat","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.14.0",NA,NA,"methods, DelayedArray (>= 0.15.14), BiocGenerics, Matrix, Rcpp","Rcpp","testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"beeswarm","beeswarm","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.2"
"berryFunctions","berryFunctions","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.21.14",NA,NA,"grDevices, graphics, stats, utils, abind",NA,"RColorBrewer, pbapply, knitr, rmarkdown, gstat, RCurl,
colorspace, vioplot, spatstat.geom, TeachingDemos, ade4,
nortest, rstudioapi",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"BH","BH","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.81.0-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.2.2"
"bibtex","bibtex","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.5.0",NA,"R (>= 3.0.2)","backports (>= 1.4.0), utils",NA,"testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"Biobase","Biobase","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.58.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.2"
"BiocBaseUtils","BiocBaseUtils","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0.0",NA,"R (>= 4.2.0)","methods, utils",NA,"knitr, rmarkdown, BiocStyle, tinytest",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"BiocFileCache","BiocFileCache","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.6.0",NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, rappdirs,
filelock, curl, httr",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"BiocGenerics","BiocGenerics","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.44.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"BiocIO","BiocIO","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.8.0",NA,"R (>= 4.0)","BiocGenerics, S4Vectors, methods, tools",NA,"testthat, knitr, rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"BiocManager","BiocManager","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.30.19",NA,NA,"utils",NA,"BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"BiocNeighbors","BiocNeighbors","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.16.0",NA,NA,"Rcpp, S4Vectors, BiocParallel, stats, methods, Matrix","Rcpp, RcppHNSW","testthat, BiocStyle, knitr, rmarkdown, FNN, RcppAnnoy,
RcppHNSW",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"BiocParallel","BiocParallel","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.32.5",NA,"methods, R (>= 3.5.0)","stats, utils, futile.logger, parallel, snow, codetools","BH, cpp11","BiocGenerics, tools, foreach, BatchJobs, BBmisc, doParallel,
Rmpi, GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, RUnit, BiocStyle,
knitr, batchtools, data.table",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"BiocSingular","BiocSingular","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.14.0",NA,NA,"BiocGenerics, S4Vectors, Matrix, methods, utils, DelayedArray,
BiocParallel, ScaledMatrix, irlba, rsvd, Rcpp, beachmat","Rcpp, beachmat","testthat, BiocStyle, knitr, rmarkdown, ResidualMatrix",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"BiocVersion","BiocVersion","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","3.16.0",NA,"R (>= 4.2.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"biomaRt","biomaRt","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.54.0",NA,"methods","utils, XML (>= 3.99-0.7), AnnotationDbi, progress, stringr,
httr, digest, BiocFileCache, rappdirs, xml2",NA,"BiocStyle, knitr, mockery, rmarkdown, testthat, webmockr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"biomformat","biomformat","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.26.0",NA,"R (>= 3.2), methods","plyr (>= 1.8), jsonlite (>= 0.9.16), Matrix (>= 1.2), rhdf5",NA,"testthat (>= 0.10), knitr (>= 1.10), BiocStyle (>= 1.6),
rmarkdown (>= 0.7)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.2"
"BioNet","BioNet","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.58.0",NA,"R (>= 2.10.0), graph, RBGL","igraph (>= 1.0.1), AnnotationDbi, Biobase",NA,"rgl, impute, DLBCL, genefilter, xtable, ALL, limma,
hgu95av2.db, XML",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"Biostrings","Biostrings","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.66.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.31.2), XVector (>= 0.37.1),
GenomeInfoDb","methods, utils, grDevices, graphics, stats, crayon","S4Vectors, IRanges, XVector","BSgenome (>= 1.13.14), BSgenome.Celegans.UCSC.ce2 (>=
1.3.11), BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit","Rmpi","Artistic-2.0",NA,NA,NA,NA,"yes","4.2.2"
"bit","bit","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","4.0.5",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"bit64","bit64","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"bitops","bitops","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"blob","blob","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.2.3",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"bluster","bluster","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.8.0",NA,NA,"stats, methods, utils, cluster, Matrix, Rcpp, igraph,
S4Vectors, BiocParallel, BiocNeighbors","Rcpp","knitr, rmarkdown, testthat, BiocStyle, dynamicTreeCut,
scRNAseq, scuttle, scater, scran, pheatmap, viridis, mbkmeans,
kohonen, apcluster",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"boot","boot","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.3-28.1","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.2.2"
"brew","brew","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0-8",NA,NA,NA,NA,"testthat (>= 3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.2"
"brio","brio","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.1.3",NA,NA,NA,NA,"covr, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"Brobdingnag","Brobdingnag","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.2-9",NA,"R (>= 2.13.0), methods, Matrix (>= 1.5-0)",NA,NA,"cubature, testthat",NA,"GPL",NA,NA,NA,NA,"no","4.2.2"
"broom","broom","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0.2",NA,"R (>= 3.1)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr (>=
1.0.0)",NA,"AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, carData, caret, cluster, cmprsk, coda, covr, drc,
e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam
(>= 1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm,
Hmisc, irlba, interp, joineRML, Kendall, knitr, ks, Lahman,
lavaan, leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, maptools, margins, MASS, mclust, mediation,
metafor, mfx, mgcv, mlogit, modeldata, modeltests, muhaz,
multcomp, network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA,
psych, quantreg, rgeos, rmarkdown, robust, robustbase, rsample,
sandwich, sp, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"BSgenome","BSgenome","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.66.2",NA,"R (>= 2.8.0), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.17.28), IRanges (>= 2.13.16), GenomeInfoDb (>= 1.25.6),
GenomicRanges (>= 1.31.10), Biostrings (>= 2.47.6), rtracklayer
(>= 1.39.7)","methods, utils, stats, matrixStats, BiocGenerics, S4Vectors,
IRanges, XVector (>= 0.29.3), GenomeInfoDb, GenomicRanges,
Biostrings, Rsamtools, rtracklayer",NA,"BiocManager, Biobase, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.UCSC.hg38,
BSgenome.Hsapiens.UCSC.hg38.masked,
BSgenome.Mmusculus.UCSC.mm10, BSgenome.Rnorvegicus.UCSC.rn5,
BSgenome.Scerevisiae.UCSC.sacCer1,
BSgenome.Hsapiens.NCBI.GRCh38,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene,
SNPlocs.Hsapiens.dbSNP144.GRCh38,
XtraSNPlocs.Hsapiens.dbSNP144.GRCh38, hgu95av2probe, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"BSgenome.Hsapiens.UCSC.hg19","BSgenome.Hsapiens.UCSC.hg19","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.4.3",NA,"BSgenome (>= 1.54.0)","BSgenome",NA,"",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"bslib","bslib","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.4.2",NA,"R (>= 2.10)","grDevices, htmltools (>= 0.5.4), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang, cachem, memoise (>= 2.0.1),
base64enc, mime",NA,"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl, magrittr, fontawesome, bsicons",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"ca","ca","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.71.1",NA,"R (>= 3.0.0)",NA,NA,"rgl (>= 0.64-10), vcd",NA,"GPL",NA,NA,NA,NA,"no","4.2.2"
"cachem","cachem","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.0.6",NA,NA,"rlang, fastmap",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"Cairo","Cairo","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.6-0",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"callr","callr","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","3.7.3",NA,"R (>= 3.4)","processx (>= 3.6.1), R6, utils",NA,"asciicast, cli (>= 1.1.0), covr, mockery, ps, rprojroot,
spelling, testthat (>= 3.0.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"car","car","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","3.1-1",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme,
scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, mvtnorm, rgl (>= 0.93.960), rio, sandwich,
SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"carData","carData","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"caTools","caTools","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"cccp","cccp","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.2-9",NA,"R (>= 3.0.1), methods","Rcpp (>= 0.11.2)","Rcpp, RcppArmadillo","RUnit, numDeriv",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.2"
"cellranger","cellranger","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"checkmate","checkmate","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","2.1.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"circlize","circlize","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.4.15",NA,"R (>= 3.0.0), graphics","GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid",NA,"knitr, dendextend (>= 1.0.1), ComplexHeatmap (>= 2.0.0),
gridBase, png, markdown, bezier, covr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"CircStats","CircStats","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.2-6",NA,"MASS, boot",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.2"
"class","class","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","7.3-20","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"classInt","classInt","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.4-8",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"cli","cli","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","3.6.0",NA,"R (>= 3.4)","utils",NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"clipr","clipr","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"clisymbols","clisymbols","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","1.2.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"clue","clue","/home/apps/software/R/4.2.2-IGB-gcc-8.2.0/lib64/R/library","0.3-63",NA,"R (>= 3.2.0)","stats, cluster, graphics, methods",NA,"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations","RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools","GPL-2",NA,NA,NA,NA,"yes","4.2.2"
